Real Estate Schedule,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,Multifamily (conventional),,,,,,,,,,,,,,
,,,,,,Multifamily (Section 8 and/or LIHTC),,,,,,,,,,,,,,
,,,,,,Student Housing,,,,,,,,,,,,,,
36,Ashley Forest,9230 Nesbit Ferry Rd,Alpharetta,GA,Stabilized,Multifamily (conventional),220,1986,91%,2015,PNC, Variable ,2/28/2027," $23,952,500 "," $735,941 ", Interest Only ," $3,479,697 "," $1,457,974 "," $2,021,723 ", 2.75 
,,,,,,,,,,,,,,,,,,,,
37,Bridge Mill Apartmetns,1000 Preston Glen Cr,Canton,GA,Stabilized,Multifamily (conventional),236,2000,95%,2015,Freddie Mac, Variable ,12/1/2028," $38,500,000 "," $1,536,150 ", Interest Only ," $4,145,017 "," $1,763,917 "," $2,381,100 ", 1.55 
,,,,,,,,,,,CBRE,,,,,,,,,
38,Vinings,3385 Atlanta Rd,Smyrna,GA,Stabilized,Multifamily (conventional),403,1991,93%,2016,Freddie Mac, Fixed ,6/1/2023," $40,180,000 "," $1,410,318 ", Interest Only ," $6,559,492 "," $2,694,192 "," $3,865,301 ", 2.74 
,,,,,,,,,,,,,,,,,,,,
39,Ashford,3716 Ashford Dunwoody,Atlanta,GA,Stabilized,Multifamily (conventional),222,1987,93%,2016,Freddie Mac, Fixed ,6/1/2023," $21,140,000 "," $756,812 ", Interest Only ," $3,643,286 "," $1,724,086 "," $1,919,200 ", 2.54 
,,,,,,,,,,,,,,,,,,,,
40,Blue Atlantic Hawks Creek,101 N. Roaring Springs Rd.,Westworth Village,TX,Stabilized,Multifamily (conventional),312,2005,94%,2016,Freddie Mac, Fixed ,10/1/2023," $31,220,000 "," $1,045,870 ", Interest Only ," $5,081,297 "," $1,761,118 "," $3,320,179 ", 3.17 
,,,,,,,,,,,,,,,,,,,,
41,Blue Atlantic Franciscan,3006 Franciscan Dr.,Arlington,TX,Stabilized,Multifamily (conventional),418,2000,94%,2016,Freddie Mac, Fixed ,11/1/2023," $34,800,000 "," $1,165,800 ", Interest Only ," $7,026,790 "," $3,597,110 "," $3,429,680 ", 2.94 
,,,,,,,,,,,,,,,,,,,,
42,Vintage,15727 Cutten Rd,Houston,TX,Stabilized,Multifamily (conventional),324,2006,85%,2016,Freddie Mac, Fixed ,9/1/2026," $32,250,000 "," $1,196,475 ", Interest Only ," $5,263,745 "," $2,665,094 "," $2,598,651 ", 2.17 
,,,,,,,,,,,,,,,,,,,,
43,Blue Atlantic Walnut Crek,3251 Matlock Rd,Mansfield,TX,Stabilized,Multifamily (conventional),256,2002,95%,2017,Fannie Mae, Fixed ,3/1/2024," $21,125,000 "," $840,775 ", Interest Only ," $4,556,399 "," $2,342,506 "," $2,213,893 ", 2.63 
,,,,,,,,,,,,,,,,,,,,
44,Blue Atlantic Hartsfield,3640 South Fulton Ave,Atlanta,GA,Stabilized,Multifamily (conventional),269,2009,95%,2017,Freddie Mac, Fixed ,10/1/2024," $33,271,000 "," $1,324,186 ", Interest Only ," $5,100,218 "," $2,128,535 "," $2,971,683 ", 2.24 
,,,,,,,,,,,,,,,,,,,,
46,Harrison Grande,300 Sudbury Dr.,Cary,NC,Stabilized,Multifamily (conventional),319,1995,95%,2017,Freddie Mac, Variable ,1/1/2023," $34,844,000 "," $1,324,072 ", Interest Only ," $4,766,797 "," $1,884,861 "," $2,881,935 ", 2.18 
,,,,,,,,,,,,,,,,,,,,
47,Brookwood Valley,2035 Peachtree Rd,Atlanta,GA,Stabilized,Multifamily (conventional),240,1987,96%,2018,Freddie Mac, Fixed ,4/1/2025," $23,907,870 "," $1,030,429 ", Interest Only ," $3,959,775 "," $1,707,357 "," $2,252,417 ", 2.19 
,,,,,,,,,,,,,,,,,,,,
48,Atlantic McKinney Ranch,5500 McKinney Place Dr,McKinney,TX,Stabilized,Multifamily (conventional),343,2009,90%,2018,Freddie Mac, Fixed ,6/1/2025," $35,197,000 "," $1,534,589 ", Interest Only ," $5,667,657 "," $2,677,747 "," $2,989,910 ", 1.95 
,,,,,,,,,,,,,,,,,,,,
49,Atlantic Stonebriar,5620 S Colony Blvd,The Colony,TX,Stabilized,Multifamily (conventional),294,2006,94%,2018,Freddie Mac, Fixed ,6/1/2025," $29,037,000 "," $1,268,917 ", Interest Only ," $5,081,769 "," $2,314,156 "," $2,767,613 ", 2.18 
,,,,,,,,,,,,,,,,,,,,
50,Atlantic Station,2650 Western Center Blvd,Fort Worth,TX,Stabilized,Multifamily (conventional),324,2005,95%,2018,Freddie Mac, Fixed ,8/1/2025," $30,013,000 "," $1,287,558 ", Interest Only ," $5,045,262 "," $2,597,010 "," $2,448,251 ", 1.90 
,,,,,,,,,,,,,,,,,,,,
51,Pointe at Preston Ridge,950 Executive Dr,Alpharetta,GA,Stabilized,Multifamily (conventional),266,1988,95%,2018,Freddie Mac, Fixed ,8/1/2025," $28,190,000 "," $1,167,066 ", Interest Only ," $4,442,500 "," $1,790,285 "," $2,652,215 ", 2.27 
,,,,,,,,,,,,,,,,,,,,
52,Flats @ 55Twelve,5512 Sunlight Drive,Durham,NC,Stabilized,Multifamily (conventional),268,2001,94%,2019,Freddie Mac, Fixed ,9/1/2026," $27,380,000 "," $919,968 ", Interest Only ," $3,966,772 "," $1,643,796 "," $2,322,975 ", 2.53 
,,,,,,,,,,,,,,,,,,,,
53,City View,433 Highland Avenue NE,Atlanta,GA,Stabilized,Multifamily (conventional),240,2003,92%,2019,Freddie Mac, Fixed ,10/1/2026," $35,350,000 "," $1,208,970 ", Interest Only ," $4,879,837 "," $2,325,348 "," $2,554,489 ", 2.11 
,,,,,,,,,,,,,,,,,,,,
54,2803 Riverside,2803 Riverside Parkway,Grand Prairie,TX,Stabilized,Multifamily (conventional),436,1999,93%,2019,Freddie Mac, Fixed ,1/1/2027," $48,585,000 "," $1,758,777 ", Interest Only ," $7,311,040 "," $3,944,530 "," $3,366,509 ", 1.91 
,,,,,,,,,,,,,,,,,,,,
55,Mira Loma,7601 Gateway Blvd,Live Oak,TX,Stabilized,Multifamily (conventional),378,2009,94%,2020,Freddie Mac, Fixed ,7/1/2027," $35,100,000 "," $979,290 ", Interest Only ," $5,668,035 "," $2,598,251 "," $3,069,784 ", 3.13 
,,,,,,,,,,,,,,,,,,,,
56,Parc at Dunwoody,1067 Pitts Rd,Dunwoody,GA,Stabilized,Multifamily (conventional),312,1979,90%,2020,Freddie Mac, Fixed ,10/1/2030," $32,300,000 "," $831,815 ", Interest Only ," $4,116,453 "," $2,072,418 "," $2,044,035 ", 2.46 
,,,,,,,,,,,,,,,,,,,,
